route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order
4-0080,1,80,Rennes (Henri Fréville) <> Laillé (Gingouillère),Métropolitaine,3,,BA65A5,FFFFFF,1080
4-0081,1,81,Rennes (Villejean-Université) <> Clayes <> Romillé (Romillé Collège),Métropolitaine,3,,008BD2,FFFFFF,1081
4-0082,1,82,Rennes (Villejean-Université) <> Romillé <> Langan <> La Chapelle-Chaussée <> Bécherel <> Miniac-sous-Bécherel (Miniac Eglise),Métropolitaine,3,,E4003A,FFFFFF,1082
4-0083,1,83,Thorigné-Fouillard (ZA Bellevue) <> Betton (Champ Devant),Métropolitaine,3,,004F9E,FFFFFF,1083
4-0090,1,90,Bruz (Lavoisier) <> Bruz (DGA-MI),Intercommunale,3,,008BD2,FFFFFF,1090
4-0091,1,91,Noyal-Châtillon-sur-Seiche (Petite Saudrais) <> Chartres-de-Bretagne <> Bruz (Cicé Blossac/Pont-Réan),Intercommunale,3,,AECC52,1A171B,1091
4-0152,1,152ex,Rennes (Villejean-Université) <> Saint-Gilles (Ile des Bois),Express,3,,FFDD00,3D3C3F,1152
4-0153,1,153ex,Rennes (République) <> Vezin-le-Coquet <> L'Hermitage <> La Chapelle-Thouarault (Ville aux Archers),Express,3,,FFDD00,3D3C3F,1153
4-0154,1,154ex,Rennes (République) <> Le Rheu <> Cintré (Clos de la Vallée),Express,3,,FFDD00,3D3C3F,1154
4-0155,1,155ex,Rennes (République) <> Mordelles <> Le Verger (Le Verger Eglise),Express,3,,FFDD00,3D3C3F,1155
4-0156,1,156ex,Rennes (République) <> Chavagne (Croix Blanche),Express,3,,FFDD00,3D3C3F,1156
4-0159,1,159ex,Bruz (Bruz Gare) <> Rennes (Henri Fréville),Express,3,,FFDD00,3D3C3F,1159
4-0161,1,161ex,Rennes (Henri Fréville) <> Noyal-Châtillon-sur-Seiche <> Saint-Erblon <> Bourgbarré (Centre de Loisirs),Express,3,,FFDD00,3D3C3F,1161
4-0164,1,164ex,Acigné (Timonière) <> Cesson-Sévigné (Cesson - Viasilva),Express,3,,FFDD00,3D3C3F,1164
4-0165,1,165ex,Rennes (Villejean-Université) <> Parthenay-de-Bretagne (Parthenay Fontaine),Express,3,,FFDD00,3D3C3F,1165
4-0167,1,167ex,Brécé (Anjou) <> Cesson-Sévigné <> Rennes (République),Express,3,,FFDD00,3D3C3F,1167
4-0168,1,168ex,Gévezé (Cheval Blanc) <> Rennes (Villejean-Université),Express,3,,FFDD00,3D3C3F,1168
4-0172,1,172ex,Rennes (Henri Fréville) <> Chartres-de-Bretagne (Ferme des Peupliers),Express,3,,FFDD00,3D3C3F,1172
4-0173,1,173ex,Rennes (La Poterie) <> Saint-armel <> Corps-Nuds (Corps-Nuds Gare),Express,3,,FFDD00,3D3C3F,1173
4-0175,1,175ex,Rennes (La Poterie) <> Nouvoitou (Parc des Sports),Express,3,,FFDD00,3D3C3F,1175
4-0178,1,178ex,Betton (La Haute Plesse) <> Rennes (Villejean-Université),Express,3,,FFDD00,3D3C3F,1178
4-0308,1,C8,Rennes (Les Gayeulles) <> Rennes (Porte de Cleunay),CHRONOSTAR,3,,00893E,FFFFFF,1308
4-0707,1,Bzh7,Bécherel (Bécherel Centre) <> Rennes (Gares),BreizhGo,3,,,,1707
4-0121,1,N1,Rennes (République) <> Rennes (Kennedy Guyenne),STAR de Nuit,3,,004F9E,FFFFFF,2121
4-0122,1,N2,Rennes (République) <> Rennes (La Poterie),STAR de Nuit,3,,F39200,1A171B,2122
4-0123,1,N3,Rennes (République) <> Bruz (Schuman),STAR de Nuit,3,,D39D2F,1A171B,2123
4-0124,1,N4,Cesson-Sévigné (Atalante) <> Rennes (République),STAR de Nuit,3,,6F2282,FFFFFF,2124
4-0125,1,N5,Rennes (Parc Gayeulles) <> Rennes (République),STAR de Nuit,3,,FFCC00,1A171B,2125
4-0801,1,a relais,Rennes (J.F. Kennedy) <> Rennes (La Poterie),Spéciale,3,,FFFF00,1A171B,3801
4-0802,1,b relais,Cesson-Sévigné (Cesson - Viasilva) <> Saint-Jacques-de-la-Lande (Saint-Jacques - Gaîté),Spéciale,3,,FFFF00,1A171B,3802
4-0803,1,API,Api'Bus : Rennes (République) <> Rennes (Etangs d'Apigné),Spéciale,3,,009C99,FFFFFF,3803
4-0804,1,TTZ,Rennes <> Noyal-Châtillon-sur-Seiche (Touche Tizon),Spéciale,3,,009C99,FFFFFF,3804
4-0200,1,200,Acigné (Timonière) <> Rennes (Assomption),Complémentaire,3,,BA67A6,FFFFFF,4200
4-0201,1,201,Thorigné-Fouillard (Landelles) <> Rennes (Assomption),Complémentaire,3,,E30613,FFFFFF,4201
4-0202,1,202,Chevaigné (Pommiers) <> Betton <>  Saint-Grégoire <> Rennes (Assomption),Complémentaire,3,,009FE3,FFFFFF,4202
4-0204,1,204,Saint-Grégoire (Champ Daguet) <> Rennes (Assomption),Complémentaire,3,,94C11F,FFFFFF,4204
4-0205,1,205,Rennes (The Land) <> Rennes (Villejean-Université),Complémentaire,3,,C0087F,FFFFFF,4205
4-0206,1,206,Cesson-Sévigné (Métairies Chalotais) <> Rennes (Assomption),Complémentaire,3,,FECC00,1A171B,4206
4-0208,1,208,Saint-Grégoire (MFR Rabinardières) <> Rennes (Gares),Complémentaire,3,,F39200,FFFFFF,4208
4-0209,1,209,Saint-Jacques-de-la-Lande (Croix Verte) <> Saint-Jacques-de-la-Lande (Collège Jean Moulin),Complémentaire,3,,FFCC00,1A171B,4209
4-0212,1,212,Rennes (Coubertin) <> Noyal-Châtillon-sur-Seiche <> Saint-Erblon (Champ Mulon),Complémentaire,3,,BA67A6,FFFFFF,4212
4-0213,1,213,Rennes (Coubertin) <> Orgères <> Bourgbarré (Sept Fours),Complémentaire,3,,94C11F,FFFFFF,4213
