service_id,date,exception_type
265105005,20240605,2
264938503,20240608,2
262213600,20240616,2
262212600,20240616,2
262211600,20240609,2
264459002,20240528,2
264459002,20240529,2
264459002,20240530,2
264459002,20240531,2
264459002,20240603,2
264459002,20240604,2
264459002,20240605,2
264459002,20240606,2
264459002,20240607,2
262364500,20240608,2
262525000,20240607,2
262525000,20240610,2
269149602,20240616,2
269151003,20240617,2
264762003,20240605,2
264762003,20240607,2
264762003,20240610,2
264142002,20240528,2
264142002,20240529,2
264142002,20240530,2
264142002,20240531,2
264142002,20240603,2
264142002,20240604,2
264142002,20240605,2
264142002,20240606,2
264142002,20240607,2
261742500,20240608,2
261702600,20240609,2
267419007,20240610,2
267419007,20240611,2
267419007,20240612,2
267419007,20240613,2
267419007,20240614,2
267419007,20240617,2
267419007,20240618,2
267419007,20240619,2
267419007,20240620,2
264138601,20240616,2
267599009,20240529,2
267622604,20240616,2
261908600,20240616,2
263465001,20240529,2
263465001,20240605,2
263465001,20240612,2
263465001,20240619,2
263538071,20240530,2
263538071,20240531,2
263538071,20240603,2
263538071,20240604,2
263538071,20240606,2
263538071,20240607,2
263538071,20240610,2
263538071,20240611,2
263538071,20240613,2
263538071,20240614,2
263538071,20240617,2
263538071,20240618,2
262038000,20240529,2
262038000,20240605,2
262038000,20240612,2
262038000,20240619,2
262997070,20240530,2
262997070,20240531,2
262997070,20240603,2
262997070,20240604,2
262997070,20240606,2
262997070,20240607,2
262997070,20240610,2
262997070,20240611,2
262997070,20240613,2
262997070,20240614,2
262997070,20240617,2
262997070,20240618,2
264972602,20240616,2
266164004,20240603,2
266164004,20240604,2
266164004,20240605,2
266164004,20240606,2
266164004,20240607,2
266000604,20240616,2
262528601,20240616,2
263579001,20240529,2
263579001,20240605,2
263579001,20240612,2
263579001,20240617,2
263579001,20240619,2
263802031,20240530,2
263802031,20240531,2
263802031,20240603,2
263802031,20240604,2
263802031,20240606,2
263802031,20240607,2
263802031,20240610,2
263802031,20240611,2
263802031,20240613,2
263802031,20240614,2
263802031,20240617,2
263802031,20240618,2
262309600,20240616,2
268601006,20240530,2
268601006,20240531,2
268601006,20240603,2
268601006,20240604,2
268601006,20240606,2
268601006,20240607,2
268601006,20240610,2
268601006,20240611,2
268601006,20240613,2
268601006,20240614,2
268601006,20240617,2
268601006,20240618,2
264441004,20240529,2
264441004,20240605,2
264441004,20240612,2
264441004,20240619,2
262208601,20240616,2
261913001,20240531,2
261913001,20240607,2
261913001,20240614,2
261915051,20240603,2
261915051,20240604,2
261915051,20240605,2
261915051,20240606,2
261915051,20240610,2
261915051,20240611,2
261915051,20240612,2
261915051,20240613,2
261915051,20240617,2
261915051,20240618,2
261915051,20240619,2
261915051,20240620,2
261847601,20240616,2
269069601,20240616,2
268935003,20240617,2
262100601,20240616,2
262073601,20240616,2
264451602,20240616,2
263567002,20240529,2
263567002,20240605,2
263567002,20240612,2
263567002,20240619,2
263827003,20240530,2
263827003,20240531,2
263827003,20240603,2
263827003,20240604,2
263827003,20240606,2
263827003,20240607,2
263827003,20240610,2
263827003,20240611,2
263827003,20240613,2
263827003,20240614,2
263827003,20240617,2
263827003,20240618,2
264339004,20240531,2
264343054,20240603,2
264343054,20240604,2
264343054,20240605,2
264343054,20240606,2
270048006,20240614,2
270051055,20240617,2
270051055,20240618,2
270051055,20240619,2
270051055,20240620,2
262776601,20240616,2
263529002,20240529,2
263529002,20240605,2
263529002,20240612,2
263529002,20240619,2
263822032,20240530,2
263822032,20240531,2
263822032,20240603,2
263822032,20240604,2
263822032,20240606,2
263822032,20240607,2
263822032,20240610,2
263822032,20240611,2
263822032,20240613,2
263822032,20240614,2
263822032,20240617,2
263822032,20240618,2
264843003,20240529,2
264843003,20240605,2
264843003,20240612,2
264843003,20240619,2
264925033,20240530,2
264925033,20240531,2
264925033,20240603,2
264925033,20240604,2
264925033,20240606,2
264925033,20240607,2
264925033,20240610,2
264925033,20240611,2
264925033,20240613,2
264925033,20240614,2
264925033,20240617,2
264925033,20240618,2
267860502,20240615,2
262510000,20240529,2
262510000,20240605,2
262510000,20240607,2
262510000,20240612,2
262510000,20240619,2
264170601,20240616,2
263071070,20240530,2
263071070,20240531,2
263071070,20240603,2
263071070,20240604,2
263071070,20240606,2
263071070,20240607,2
263071070,20240610,2
263071070,20240611,2
263071070,20240613,2
263071070,20240614,2
263071070,20240617,2
263071070,20240618,2
261711600,20240609,2
267862503,20240608,2
264277001,20240610,2
264277001,20240611,2
264277001,20240612,2
264277001,20240613,2
264277001,20240614,2
264277001,20240617,2
264277001,20240618,2
264277001,20240619,2
264277001,20240620,2
265075003,20240529,2
265075003,20240605,2
265075003,20240612,2
265075003,20240619,2
265077033,20240530,2
265077033,20240531,2
265077033,20240603,2
265077033,20240604,2
265077033,20240606,2
265077033,20240607,2
265077033,20240610,2
265077033,20240611,2
265077033,20240613,2
265077033,20240614,2
265077033,20240617,2
265077033,20240618,2
265084602,20240616,2
264845002,20240529,2
264845002,20240605,2
264845002,20240612,2
264845002,20240619,2
264887602,20240616,2
264884032,20240530,2
264884032,20240531,2
264884032,20240603,2
264884032,20240604,2
264884032,20240606,2
264884032,20240607,2
264884032,20240610,2
264884032,20240611,2
264884032,20240613,2
264884032,20240614,2
264884032,20240617,2
264884032,20240618,2
267614007,20240528,2
267614007,20240529,2
267614007,20240530,2
267614007,20240531,2
267614007,20240603,2
267614007,20240604,2
267614007,20240605,2
267614007,20240606,2
267614007,20240607,2
262450000,20240603,2
262450000,20240604,2
262450000,20240605,2
262450000,20240606,2
262450000,20240607,2
262450000,20240610,2
267603505,20240615,2
267616605,20240616,2
264921602,20240616,2
261787601,20240616,2
263253002,20240529,2
263253002,20240605,2
263253002,20240612,2
263253002,20240619,2
265273004,20240530,2
265273004,20240531,2
265273004,20240603,2
265273004,20240604,2
265273004,20240606,2
265273004,20240607,2
265273004,20240610,2
265273004,20240611,2
265273004,20240613,2
265273004,20240614,2
265273004,20240617,2
265273004,20240618,2
262113601,20240616,2
264901003,20240529,2
264901003,20240605,2
264901003,20240612,2
264901003,20240619,2
264916032,20240530,2
264916032,20240531,2
264916032,20240603,2
264916032,20240604,2
264916032,20240606,2
264916032,20240607,2
264916032,20240610,2
264916032,20240611,2
264916032,20240613,2
264916032,20240614,2
264916032,20240617,2
264916032,20240618,2
264974603,20240616,2
262537600,20240616,2
264412602,20240616,2
262411601,20240616,2
264244003,20240529,2
264244003,20240605,2
264244003,20240612,2
264244003,20240619,2
264310032,20240530,2
264310032,20240531,2
264310032,20240603,2
264310032,20240604,2
264310032,20240606,2
264310032,20240607,2
264310032,20240610,2
264310032,20240611,2
264310032,20240613,2
264310032,20240614,2
264310032,20240617,2
264310032,20240618,2
264414602,20240616,2
264248003,20240529,2
264248003,20240605,2
264248003,20240612,2
264248003,20240619,2
263807031,20240530,2
263807031,20240531,2
263807031,20240603,2
263807031,20240604,2
263807031,20240606,2
263807031,20240607,2
263807031,20240610,2
263807031,20240611,2
263807031,20240613,2
263807031,20240614,2
263807031,20240617,2
263807031,20240618,2
264416602,20240616,2
268913062,20240607,2
268913062,20240610,2
268913062,20240611,2
268913062,20240612,2
268913062,20240614,2
268913062,20240617,2
268913062,20240618,2
268913062,20240619,2
264349001,20240530,2
268918604,20240616,2
268696002,20240606,2
268696002,20240613,2
268696002,20240620,2
261902600,20240616,2
262239001,20240529,2
262239001,20240605,2
262239001,20240612,2
262239001,20240619,2
262240031,20240530,2
262240031,20240531,2
262240031,20240603,2
262240031,20240604,2
262240031,20240606,2
262240031,20240607,2
262240031,20240610,2
262240031,20240611,2
262240031,20240613,2
262240031,20240614,2
262240031,20240617,2
262240031,20240618,2
264934006,20240529,2
269286009,20240607,2
269286009,20240614,2
265010602,20240616,2
269340010,20240610,2
269340010,20240611,2
269340010,20240612,2
269340010,20240613,2
269340010,20240617,2
269340010,20240618,2
269340010,20240619,2
269340010,20240620,2
263510002,20240529,2
268389004,20240605,2
268389004,20240612,2
268389004,20240619,2
269147605,20240616,2
268510032,20240606,2
268510032,20240607,2
268510032,20240610,2
268510032,20240611,2
268510032,20240613,2
268510032,20240614,2
268510032,20240617,2
268510032,20240618,2
267729003,20240605,2
264116502,20240608,2
261764601,20240616,2
263092601,20240616,2
263882602,20240616,2
263504502,20240608,2
263119601,20240609,2
269194002,20240607,2
269246003,20240610,2
269246003,20240611,2
269246003,20240612,2
269246003,20240613,2
269246003,20240614,2
269246003,20240617,2
269246003,20240618,2
269246003,20240619,2
269246003,20240620,2
265997504,20240615,2
262008601,20240616,2
268899005,20240610,2
268899005,20240611,2
268899005,20240612,2
268899005,20240613,2
268899005,20240617,2
268899005,20240618,2
268899005,20240619,2
268899005,20240620,2
264399001,20240603,2
264399001,20240604,2
264399001,20240605,2
264399001,20240606,2
264399001,20240610,2
264399001,20240611,2
264399001,20240612,2
264399001,20240613,2
264399001,20240617,2
264399001,20240618,2
264399001,20240619,2
264399001,20240620,2
264472003,20240603,2
264472003,20240604,2
264472003,20240605,2
264472003,20240606,2
264472003,20240610,2
264472003,20240611,2
264472003,20240612,2
264472003,20240613,2
264472003,20240617,2
264472003,20240618,2
264472003,20240619,2
264472003,20240620,2
264454052,20240603,2
264454052,20240604,2
264454052,20240605,2
264454052,20240606,2
264454052,20240610,2
264454052,20240611,2
264454052,20240612,2
264454052,20240613,2
264454052,20240617,2
264454052,20240618,2
264454052,20240619,2
264454052,20240620,2
264470002,20240603,2
264470002,20240604,2
264470002,20240605,2
264470002,20240606,2
264470002,20240610,2
264470002,20240611,2
264470002,20240612,2
264470002,20240613,2
264470002,20240617,2
264470002,20240618,2
264470002,20240619,2
264470002,20240620,2
262341002,20240603,2
262341002,20240604,2
262341002,20240605,2
262341002,20240606,2
262341002,20240610,2
262341002,20240611,2
262341002,20240612,2
262341002,20240613,2
262341002,20240617,2
262341002,20240618,2
262341002,20240619,2
262341002,20240620,2
263447003,20240530,2
263447003,20240531,2
263447003,20240603,2
263447003,20240604,2
263447003,20240606,2
263447003,20240607,2
263447003,20240610,2
263447003,20240611,2
262425001,20240528,2
262425001,20240529,2
262425001,20240531,2
262425001,20240605,2
262425001,20240607,2
262425001,20240612,2
262425001,20240614,2
263444057,20240530,2
263444057,20240531,2
263444057,20240603,2
263444057,20240604,2
263444057,20240606,2
263444057,20240607,2
263444057,20240610,2
263444057,20240611,2
262424051,20240603,2
262424051,20240604,2
262424051,20240605,2
262424051,20240606,2
262424051,20240610,2
262424051,20240611,2
262424051,20240612,2
262424051,20240613,2
262424051,20240617,2
262424051,20240618,2
262424051,20240619,2
262424051,20240620,2
264835002,20240607,2
264906603,20240616,2
264874502,20240608,2
264904503,20240615,2
264895602,20240609,2
264853003,20240610,2
264853003,20240611,2
264853003,20240612,2
264853003,20240613,2
264853003,20240614,2
264853003,20240617,2
264853003,20240618,2
264853003,20240619,2
264853003,20240620,2
269159601,20240616,2
269157000,20240617,2
264837002,20240607,2
264866003,20240610,2
264866003,20240611,2
264866003,20240612,2
264866003,20240613,2
264866003,20240614,2
264866003,20240617,2
264866003,20240618,2
264866003,20240619,2
264866003,20240620,2
